iter	Logloss
0	0.6813779382
1	0.6703459025
2	0.6587914734
3	0.6490252478
4	0.6380191412
5	0.6283356079
6	0.6194854155
7	0.6090241817
8	0.5992129351
9	0.5898791908
10	0.5798655112
11	0.5708140964
12	0.5611509949
13	0.5522580941
14	0.5430089172
15	0.5346108787
16	0.5279873432
17	0.5189811621
18	0.5126978096
19	0.5055177783
20	0.4987331667
21	0.4911513705
22	0.4893492248
23	0.4811288783
24	0.4743980676
25	0.466660457
26	0.4584915085
27	0.4518883938
28	0.4453700526
29	0.4376481183
30	0.4308544302
31	0.4258166335
32	0.4205670638
33	0.4175984107
34	0.4112818076
35	0.4056507239
36	0.4018121128
37	0.3981411616
38	0.3928754363
39	0.3893391903
40	0.3848158305
41	0.3794979119
42	0.3753053928
43	0.3707447837
44	0.3663656532
45	0.362246463
46	0.3585793722
47	0.3541227371
48	0.3509102057
49	0.3476696343
50	0.3444298249
51	0.3401280946
52	0.3365754447
53	0.3332414718
54	0.3299034031
55	0.3261223594
56	0.3226803912
57	0.3198461766
58	0.3171623848
59	0.3145473796
60	0.3108364797
61	0.3081398679
62	0.3077057988
63	0.3051161983
64	0.3025384119
65	0.2996152346
66	0.2965249193
67	0.2934734271
68	0.2910493654
69	0.2885837155
70	0.285980798
71	0.283313135
72	0.280774216
73	0.2789966331
74	0.2769623451
75	0.2750138783
76	0.2729337703
77	0.2701600494
78	0.2678886497
79	0.2657820646
80	0.263962355
81	0.2611745116
82	0.2595905684
83	0.2577601923
84	0.2561537114
85	0.2547606649
86	0.2524585159
87	0.2510323881
88	0.2495317987
89	0.2472981643
90	0.2453774219
91	0.2436473336
92	0.2421159741
93	0.2404875157
94	0.2386768098
95	0.2373590768
96	0.2358421484
97	0.2344173248
98	0.2332889944
99	0.2316400574
100	0.229978101
101	0.2284029355
102	0.2270115189
103	0.225150124
104	0.2238550338
105	0.2225184762
106	0.221291541
107	0.2198510613
108	0.2193577622
109	0.2180298612
110	0.2169629002
111	0.2159818636
112	0.2147380663
113	0.2133932088
114	0.211961202
115	0.2105079157
116	0.2093695887
117	0.2081395627
118	0.2068996496
119	0.2056458879
120	0.2044015779
121	0.2028962251
122	0.2016833964
123	0.2003616129
124	0.1992282019
125	0.197713949
126	0.1969190543
127	0.1960942005
128	0.1949848829
129	0.193780937
130	0.1922794687
131	0.1914158696
132	0.190474699
133	0.189497146
134	0.1884372096
135	0.1872691107
136	0.1861162928
137	0.1851856395
138	0.1841719517
139	0.1832648385
140	0.1824537099
141	0.1819048614
142	0.1810863428
143	0.180952815
144	0.1798627759
145	0.1790069758
146	0.1782404701
147	0.1774770022
148	0.1766680884
149	0.1757968156
150	0.1750741012
151	0.1742034002
152	0.1734912828
153	0.1726313836
154	0.1718163555
155	0.1709824297
156	0.1696803092
157	0.168854191
158	0.1681130061
159	0.1674642686
160	0.1666013025
161	0.1654142966
162	0.1646435922
163	0.1638231034
164	0.1629884325
165	0.1621159664
166	0.1610487344
167	0.1604387441
168	0.1596504919
169	0.1589952765
170	0.1583919395
171	0.1576968647
172	0.156975053
173	0.1569640102
174	0.1559777161
175	0.1551814224
176	0.1547305162
177	0.1535760515
178	0.1526487566
179	0.1517586596
180	0.1517267358
181	0.1510391756
182	0.1502052572
183	0.1493015822
184	0.148675289
185	0.148390305
186	0.1478383435
187	0.1472438955
188	0.1464397288
189	0.1459479063
190	0.1453880253
191	0.1447707456
192	0.1442961628
193	0.143719102
194	0.1429980556
195	0.142530545
196	0.1418202147
197	0.1411258582
198	0.1403169104
199	0.1398385563
200	0.1392990899
201	0.1385207843
202	0.137763756
203	0.1372015133
204	0.1367322722
205	0.1363900295
206	0.1356630833
207	0.1347898907
208	0.1340646753
209	0.1334402985
210	0.1325799244
211	0.1320439824
212	0.1315909164
213	0.1309991091
214	0.1307303814
215	0.1301629473
216	0.1297041044
217	0.1290391199
218	0.1285316596
219	0.1280803113
220	0.1275757854
221	0.1269520177
222	0.1264281185
223	0.1258609576
224	0.1251804699
225	0.1247290634
226	0.1240195385
227	0.1240013621
